Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks
AKL,AKE,CX,C,-18.0,-2.0695510297783026,1.5703131320533508,-0.033671631398904174,0.2727272727272727,18.272727272727273,0.2727272727272727,15.727272727272727,16.0,6
AMS,AKE,CX,C,24.333333333333332,3.2016594516594514,2.532616923774586,-0.4304906204906206,25.333333333333332,1.0,16.6,0.8,17.4,3
BKK,AKE,CX,C,3.7142857142857144,0.48208616780045344,1.8332334970898922,0.1345238095238095,7.928571428571429,4.214285714285714,5.642857142857143,4.071428571428571,9.714285714285714,4
BNE,AKE,CX,C,-12.75,-2.5708333333333333,1.90453872749285,0.656845238095238,0.5,13.25,0.5,7.3125,7.8125,4
BOM,AKE,CX,C,17.0,2.4285714285714284,1.5837184615753164,-0.46428571428571414,17.0,0.0,11.0,0.0,11.0,0
CDG,AKE,CX,C,12.125,1.6203373015873017,0.6953482244006606,-0.13244047619047622,12.375,0.25,12.375,0.25,12.625,7
CEB,AKE,CX,C,-20.0,-3.3333333333333335,2.4041630560342613,0.17142857142857137,0.0,20.0,0.0,7.0,7.0,0
CGK,AKE,CX,C,0.6666666666666666,0.04444444444444443,0.9428090415820632,0.02142857142857137,3.6666666666666665,3.0,2.5,2.8333333333333335,5.333333333333333,2
DXB,AKE,CX,C,10.666666666666666,1.7595238095238095,1.0818173972322918,0.13095238095238096,11.0,0.3333333333333333,7.0,0.3333333333333333,7.333333333333333,0
FCO,AKE,CX,C,-6.0,-1.5,0.9428090415820635,-0.19999999999999993,0.0,6.0,0.0,4.0,4.0,0
FRA,AKE,CX,C,6.0,1.325,0.8544206939337451,-6.245004513516506e-17,7.0,1.0,5.0,1.0,6.0,0
HAN,AKE,CX,C,-11.0,-2.75,0.7071067811865476,1.1,0.0,11.0,0.0,9.0,9.0,0
HKG,AKE,CX,C,205.47826086956522,14.888198757763973,19.897064202572885,0.7370043000477782,333.30434782608694,127.82608695652173,138.43478260869566,88.73913043478261,227.17391304347825,1
HND,AKE,CX,C,5.5,1.2166666666666666,1.2767205771423775,0.06666666666666665,6.833333333333333,1.3333333333333333,5.666666666666667,0.6666666666666666,6.333333333333333,1
ICN,AKE,CX,C,4.25,1.025,0.5450614771646304,-0.19999999999999993,5.25,1.0,3.75,1.0,4.75,1
JFK,AKE,CX,C,16.571428571428573,1.7779040404040405,2.885992133942178,-0.1458410636982065,21.428571428571427,4.857142857142857,10.928571428571429,3.7142857142857144,14.642857142857142,2
KIX,AKE,CX,C,4.5,0.675,1.4683912505149301,-0.16428571428571428,7.0,2.5,6.0,2.5,8.5,0
KUL,AKE,CX,C,1.6666666666666667,0.2952380952380952,0.7769678865942998,-0.08571428571428574,4.666666666666667,3.0,4.333333333333333,3.0,7.333333333333333,0
LAX,AKE,CX,C,-148.04347826086956,-13.52350258437215,13.302670481507503,-0.27449651797477886,3.391304347826087,151.43478260869566,2.347826086956522,37.08695652173913,39.43478260869565,3
LHR,AKE,CX,C,-4.285714285714286,-0.946031746031746,1.042121072958982,-0.03367346938775503,2.5714285714285716,6.857142857142857,1.8571428571428572,5.857142857142857,7.714285714285714,3
MAA,AKE,CX,C,-9.0,-2.25,0.9428090415820632,1.2999999999999996,0.0,9.0,0.0,4.0,4.0,1
MEL,AKE,CX,C,-13.0,-1.919465329991646,1.120529264859669,0.08509911141490088,1.0526315789473684,14.052631578947368,0.8421052631578947,10.526315789473685,11.368421052631579,3
MNL,AKE,CX,C,-5.785714285714286,-1.1335034013605443,1.7831019007897448,-0.4627551020408162,2.857142857142857,8.642857142857142,2.357142857142857,4.714285714285714,7.071428571428571,0
NGO,AKE,CX,C,-2.0,-0.5,0.9428090415820635,-0.2,1.0,3.0,1.0,3.0,4.0,0
NRT,AKE,CX,C,2.0,0.36111111111111116,1.3985000783467274,-0.13809523809523805,4.666666666666667,2.6666666666666665,4.333333333333333,2.3333333333333335,6.666666666666667,1
PER,AKE,CX,C,-20.818181818181817,-3.7757215007215006,2.8992642926337058,-0.820995670995671,0.8181818181818182,21.636363636363637,0.8181818181818182,9.818181818181818,10.636363636363637,2
PVG,AKE,CX,C,14.0,3.0416666666666665,2.262741699796952,-0.12142857142857144,14.5,0.5,9.5,0.5,10.0,0
SGN,AKE,CX,C,2.4761904761904763,0.15119999048570487,2.012869228465025,0.2088617731474874,12.714285714285714,10.238095238095237,9.761904761904763,6.571428571428571,16.333333333333332,4
SIN,AKE,CX,C,3.0588235294117645,0.18744882568411989,2.422782028074357,-0.4183248124424595,11.352941176470589,8.294117647058824,7.176470588235294,5.705882352941177,12.882352941176471,1
SUB,AKE,CX,C,-3.0,-0.75,1.1785113019775793,-0.4999999999999999,1.0,4.0,1.0,3.0,4.0,0
SYD,AKE,CX,C,-14.0,-2.1740740740740745,1.8851513007465002,0.08210678210678203,1.5555555555555556,15.555555555555555,1.4444444444444444,10.11111111111111,11.555555555555555,1
TPE,AKE,CX,C,-51.142857142857146,-6.497435236720952,6.487003811348155,-0.07331478045763762,8.523809523809524,59.666666666666664,6.666666666666667,21.714285714285715,28.38095238095238,2
YVR,AKE,CX,C,16.727272727272727,3.0093073593073596,3.3328962167817453,0.12272727272727266,18.272727272727273,1.5454545454545454,7.818181818181818,1.5454545454545454,9.363636363636363,0
ZRH,AKE,CX,C,1.0,0.25,0.9428090415820635,-0.5,3.0,2.0,3.0,2.0,5.0,0
